smog_data,it_has_next_page,pages_total
"{'school': {'name': 'SZKOŁA PODSTAWOWA GMINY OLEŚNICA W OLEŚNICY', 'street': 'WILEŃSKA', 'post_code': '56-400', 'city': 'OLEŚNICA', 'longitude': '17.41034', 'latitude': '51.2095'}, 'data': {'humidity_avg': 99.90000000000002, 'pressure_avg': 1000.6, 'temperature_avg': 37.300000000000004, 'pm10_avg': 0.46666666666666606, 'pm25_avg': 0.26333333333333303}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 19 W BRZEŹCACH', 'street': 'POKOJU', 'post_code': '43-200', 'city': 'BRZEŹCE', 'longitude': '18.832539', 'latitude': '49.984943'}, 'data': {'humidity_avg': 42.233333333333334, 'pressure_avg': 984.6, 'temperature_avg': 23.233333333333334, 'pm10_avg': 1.099999999999999, 'pm25_avg': 0.61}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W RADOSTOWIE ŚREDNIM', 'street': 'RADOSTÓW ŚREDNI', 'post_code': '59-800', 'city': 'RADOSTÓW ŚREDNI', 'longitude': '15.36293', 'latitude': '51.12153'}, 'data': {'humidity_avg': 27.5, 'pressure_avg': 983.0, 'temperature_avg': 28.3, 'pm10_avg': 0.5, 'pm25_avg': 0.28}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W KOŚCIELNIKU', 'street': 'KOŚCIELNIK', 'post_code': '59-800', 'city': 'KOŚCIELNIK', 'longitude': '15.29682', 'latitude': '51.08393'}, 'data': {'humidity_avg': 61.9, 'pressure_avg': 995.9, 'temperature_avg': 17.5, 'pm10_avg': 0.30000000000000004, 'pm25_avg': 0.15}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. POLSKICH ODKRYWCÓW I PODRÓŻNIKÓW W KOBIERZYCACH', 'street': 'PARKOWA', 'post_code': '55-040', 'city': 'KOBIERZYCE', 'longitude': '16.933169', 'latitude': '50.971851'}, 'data': {'humidity_avg': 36.833333333333336, 'pressure_avg': 983.1333333333333, 'temperature_avg': 27.666666666666668, 'pm10_avg': 1.733333333333333, 'pm25_avg': 1.003333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. UNICEF W BIELANACH WROCŁAWSKICH', 'street': 'AKACJOWA', 'post_code': '55-040', 'city': 'BIELANY WROCŁAWSKIE', 'longitude': '16.971022', 'latitude': '51.038120'}, 'data': {'humidity_avg': 36.53333333333333, 'pressure_avg': 994.6666666666666, 'temperature_avg': 24.866666666666664, 'pm10_avg': 3.633333333333333, 'pm25_avg': 2.103333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W WYSOKIEJ', 'street': 'CHABROWA', 'post_code': '52-200', 'city': 'WYSOKA', 'longitude': '17.007729', 'latitude': '51.047504'}, 'data': {'humidity_avg': 35.300000000000004, 'pressure_avg': 989.6999999999999, 'temperature_avg': 27.0, 'pm10_avg': 1.533333333333333, 'pm25_avg': 0.846666666666666}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. TADEUSZA MAZOWIECKIEGO W TYŃCU MAŁYM', 'street': 'SZKOLNA', 'post_code': '55-040', 'city': 'TYNIEC MAŁY', 'longitude': '16.909195', 'latitude': '51.021600'}, 'data': {'humidity_avg': 67.8, 'pressure_avg': 1019.16, 'temperature_avg': 2.5, 'pm10_avg': 39.96, 'pm25_avg': 21.929999999999996}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. ROMUALDA TRAUGUTTA W PUSTKOWIE ŻURAWSKIM', 'street': 'KOLEJOWA', 'post_code': '55-040', 'city': 'PUSTKÓW ŻURAWSKI', 'longitude': '16.859465', 'latitude': '50.958878'}, 'data': {'humidity_avg': 99.90000000000002, 'pressure_avg': 988.5666666666666, 'temperature_avg': 28.333333333333332, 'pm10_avg': 2.5666666666666673, 'pm25_avg': 1.4666666666666661}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 1 IM. MARII KONOPNICKIEJ W ZESPOLE SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 1 IM. MARII KONOPNICKIEJ W PRUSZCZU GDAŃSKIM', 'street': 'NIEMCEWICZA', 'post_code': '83-000', 'city': 'PRUSZCZ GDAŃSKI', 'longitude': '18.650575', 'latitude': '54.261512'}, 'data': {'humidity_avg': 54.333333333333336, 'pressure_avg': 1016.4333333333334, 'temperature_avg': 23.666666666666668, 'pm10_avg': 4.666666666666667, 'pm25_avg': 2.543333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
